Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,ppi,CPU_BRAND,HDD,SSD,GPU_BRAND,OS
HP,Notebook,4,1.86,26032.516300000003,0,0,123.83434142318256,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,46824.33,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,20722.03,0,0,174.05705383053478,Intel Core i3,1000,0,Intel,Other
Dell,Gaming,16,2.65,79851.73000000001,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,27859.677300000003,0,0,123.83434142318256,Intel Core i5,1000,0,Nvidia,Other
Acer,Notebook,4,2.2,36330.14,0,1,174.05705383053478,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,53216.73,1,0,156.9531814888059,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,75590.13,0,1,272.209527795122,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,19656.63,0,0,123.83434142318256,Intel Core i3,0,128,Intel,Other
Asus,Gaming,8,3.2,69197.73000000001,0,0,156.9531814888059,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,34039.53,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,24823.82,0,0,111.66564891339004,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,16993.13,1,1,268.8405979956775,Other Intel Processor,0,0,Intel,Other
Acer,Notebook,8,2.2,44800.07,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,21227.5623,0,0,174.05705383053478,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,58756.810000000005,0,0,204.15714584634156,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,20455.68,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,40900.706,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,23385.53,0,0,174.05705383053478,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,31226.341300000004,0,0,123.83434142318256,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,130458.23,0,0,156.9531814888059,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,22107.050000000003,0,0,174.05705383053478,Intel Core i3,0,256,Intel,Other
Dell,Notebook,16,2.8,69197.73000000001,0,0,156.9531814888059,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,46824.33,0,0,193.9492885540245,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,31908.730000000003,0,1,193.9492885540245,Intel Core i3,0,256,Intel,Other
Asus,Notebook,8,1.4,50127.07,0,0,193.9492885540245,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,36756.3,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,105634.41,0,0,174.05705383053478,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,23369.016300000003,0,0,123.83434142318256,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,12198.83,0,0,137.98683758583198,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,29245.230000000003,0,0,174.05705383053478,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,50553.23,0,0,156.9531814888059,Intel Core i7,1000,0,Nvidia,Other
Microsoft,Ultrabook,4,1.252,58011.030000000006,1,0,236.3307997565705,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,50872.850000000006,0,1,204.15714584634156,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,46344.9,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,58330.65,0,0,156.9531814888059,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,20722.03,0,0,137.98683758583198,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,50553.23,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,27647.13,0,0,174.05705383053478,Intel Core i5,2000,0,Intel,Other
Dell,Notebook,8,2.02,45545.850000000006,0,0,174.05705383053478,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,28233.1,0,0,174.05705383053478,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,52044.79,0,0,156.9531814888059,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,58392.44320000001,0,1,174.05705383053478,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,80437.70000000001,0,1,271.5290039756342,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,45812.2,0,0,193.9492885540245,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,21254.73,0,0,174.05705383053478,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,21041.65,0,0,123.83434142318256,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,71861.23000000001,0,1,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,37235.73,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,31908.197300000003,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,77188.23000000001,0,1,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,87842.23000000001,0,1,204.15714584634156,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,37235.73,0,0,174.05705383053478,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,36703.03,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,63764.19,0,0,204.15714584634156,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,63657.65,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,55880.23,0,0,193.9492885540245,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,45119.69,1,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,31956.673,0,0,174.05705383053478,Intel Core i7,1000,0,AMD,Other
Dell,Notebook,4,2.2,25835.95,0,0,174.05705383053478,Intel Core i3,0,256,AMD,Other
Asus,Notebook,6,2.0,30736.79,0,0,174.05705383053478,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,66534.23000000001,0,1,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,38301.130000000005,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,18591.23,0,0,174.05705383053478,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,34465.69,0,0,174.05705383053478,Intel Core i5,1000,0,AMD,Other
HP,Ultrabook,8,1.38,59609.130000000005,0,1,204.15714584634156,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,71381.8,1,0,236.3307997565705,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,35104.93,0,1,193.9492885540245,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,22101.723,0,0,174.05705383053478,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,63551.11,0,1,193.9492885540245,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,69197.73000000001,0,0,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,78839.6,0,1,193.9492885540245,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,67226.74,0,0,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,73459.33,1,0,340.2619097439025,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,74524.73000000001,1,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,38460.94,0,1,137.98683758583198,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,86776.83,0,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,74524.1973,1,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,57744.68,0,0,193.9492885540245,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,60212.6791,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2.0,30044.28,0,0,156.9531814888059,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,59555.86,0,0,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,25516.33,1,1,174.05705383053478,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,119404.705,0,0,174.05705383053478,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,33506.83,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Other
HP,Notebook,16,2.5,67706.17,0,0,156.9531814888059,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,24024.77,0,0,123.83434142318256,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,13796.93,0,0,123.83434142318256,Other Intel Processor,500,0,Intel,Other
HP,Notebook,8,1.63,43255.240000000005,0,0,193.9492885540245,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,14808.527300000002,0,0,137.98683758583198,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,74364.92,0,0,156.9531814888059,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,49434.560000000005,0,0,156.9531814888059,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,34038.9973,0,0,123.83434142318256,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,23918.230000000003,0,0,174.05705383053478,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,47090.68,0,1,193.9492885540245,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,30470.44,0,0,174.05705383053478,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,31855.460000000003,0,0,123.83434142318256,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,52630.76,0,0,193.9492885540245,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,13443.2172,0,0,123.83434142318256,Other Intel Processor,1000,0,Intel,Other
Asus,Gaming,8,3.0,49967.26,0,0,156.9531814888059,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,26581.730000000003,0,0,174.05705383053478,Intel Core i5,1000,0,Nvidia,Other
HP,Notebook,4,1.32,37235.73,0,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,34891.85,0,1,156.9531814888059,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,59450.3854,0,1,193.9492885540245,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,46291.630000000005,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Other
Toshiba,Notebook,4,2.1,32068.54,0,0,123.83434142318256,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,19656.63,0,0,123.83434142318256,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,58543.73,0,0,193.9492885540245,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,107285.78,1,1,434.4464063610148,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2.0,18324.88,0,0,174.05705383053478,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,108084.83,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,23811.69,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,66548.0802,0,0,174.05705383053478,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,47889.73,0,0,174.05705383053478,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,26528.460000000003,0,0,123.83434142318256,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,100680.3,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,57638.14000000001,0,0,193.9492885540245,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,32974.130000000005,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,33506.83,1,1,193.9492885540245,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,70050.05,1,0,204.15714584634156,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,55880.23,1,0,174.05705383053478,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,23811.69,0,0,123.83434142318256,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,21467.81,0,0,123.83434142318256,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3.0,42882.350000000006,0,1,156.9531814888059,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,38780.560000000005,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,57478.33,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,18537.960000000003,0,0,123.83434142318256,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,95832.73,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,19364.1777,0,0,123.83434142318256,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,56492.3023,0,0,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3.0,45492.58,0,1,156.9531814888059,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,40165.58,0,1,204.15714584634156,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,71861.23000000001,0,1,234.977022671222,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,37235.73,0,1,156.9531814888059,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,16460.43,0,0,123.83434142318256,AMD Processor,500,0,AMD,Other
Toshiba,Notebook,4,2.0,26049.03,0,0,123.83434142318256,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,49168.21000000001,0,0,156.9531814888059,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,24450.93,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,23918.230000000003,0,0,123.83434142318256,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,149102.73,0,0,147.57011085632297,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,43308.51,0,0,174.05705383053478,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,79851.73000000001,1,1,408.3142916926831,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,55880.23,0,0,174.05705383053478,Intel Core i7,2000,256,AMD,Other
Dell,Ultrabook,8,1.23,74524.73000000001,0,0,204.15714584634156,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,98496.23,1,1,390.6892143534306,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,42243.11,0,0,123.83434142318256,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,63870.73,0,1,174.05705383053478,Intel Core i5,0,256,Nvidia,Other
Dell,Notebook,16,2.77,82515.23000000001,1,0,156.9531814888059,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,127688.19,1,0,348.1141076610696,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,41497.33,0,1,174.05705383053478,Intel Core i5,0,256,Nvidia,Other
Acer,Ultrabook,8,1.12,52684.030000000006,0,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,57797.95,0,0,156.9531814888059,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,150434.48,1,0,258.599051405366,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,13850.2,0,1,193.9492885540245,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,53264.673,0,1,204.15714584634156,Intel Core i5,0,256,Nvidia,Other
Lenovo,Notebook,8,2.8,37182.46,0,0,130.79431790733827,Intel Core i5,0,256,Nvidia,Other
Dell,2 in 1 Convertible,8,1.62,44693.530000000006,1,1,204.15714584634156,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,48688.780000000006,0,1,156.9531814888059,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,324893.73000000004,1,0,313.9063629776118,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,51085.93,0,0,204.15714584634156,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,73459.33,0,1,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,55667.15,0,0,156.9531814888059,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,98283.15,0,1,348.1141076610696,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,26262.11,0,0,123.83434142318256,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,39526.34,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,93169.23,0,1,174.05705383053478,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,162739.85,0,0,348.1141076610696,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,74471.46,0,0,174.05705383053478,Intel Core i7,0,512,Nvidia,Other
Dell,Notebook,6,2.3,23385.53,1,0,123.83434142318256,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,103823.23,1,1,408.3142916926831,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,77188.23000000001,0,0,204.15714584634156,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,31802.19,0,0,123.83434142318256,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,41497.33,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Other
Asus,Gaming,16,2.9,74950.89,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,18591.23,0,0,174.05705383053478,Intel Core i3,500,0,Intel,Other
Lenovo,Notebook,8,2.2,29245.230000000003,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Other
Huawei,Ultrabook,8,1.05,79851.73000000001,0,1,234.977022671222,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,49641.2476,0,1,204.15714584634156,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,31376.03,0,0,130.79431790733827,Intel Core i5,1000,0,Nvidia,Other
HP,Notebook,8,1.63,54921.37,0,0,193.9492885540245,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,61207.23,0,0,193.9492885540245,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,68132.33,1,0,204.15714584634156,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,36082.4345,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Other
Lenovo,2 in 1 Convertible,8,1.74,47889.73,0,1,193.9492885540245,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,72607.01000000001,0,0,204.15714584634156,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,42296.380000000005,0,0,174.05705383053478,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,130849.2318,0,1,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,44320.64,0,0,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,45759.4627,1,0,174.05705383053478,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,40964.630000000005,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,47463.57,0,0,156.9531814888059,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,67599.63,0,0,174.05705383053478,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,21254.197300000003,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,17579.100000000002,0,0,123.83434142318256,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,79851.73000000001,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,45758.93,0,0,193.9492885540245,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,36703.03,1,1,204.15714584634156,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,47889.73,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Other
Acer,Notebook,4,2.1,20775.300000000003,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Other
Asus,Notebook,4,2.2,30630.25,0,0,174.05705383053478,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,207220.3,0,0,156.9531814888059,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,45066.420000000006,0,1,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,31376.03,0,0,123.83434142318256,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,60994.15,0,0,156.9531814888059,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,47357.030000000006,0,0,156.9531814888059,Intel Core i7,1000,128,Nvidia,Other
Dell,Gaming,8,2.56,46824.33,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,57478.33,1,1,195.3446071767153,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,52470.95,0,0,174.05705383053478,Intel Core i7,2000,128,AMD,Windows
HP,Notebook,8,2.04,29777.93,1,0,123.83434142318256,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,16,3.6,159756.73,0,0,156.9531814888059,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.49,35957.25,0,1,204.15714584634156,Intel Core i5,500,0,Intel,Windows
Apple,Ultrabook,8,1.37,108670.8,0,1,272.209527795122,Intel Core i5,0,512,Intel,Mac
Dell,2 in 1 Convertible,8,2.08,43628.130000000005,1,1,174.05705383053478,Intel Core i7,1000,0,Intel,Windows
Asus,Gaming,16,4.3,95832.73,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,1.68,24983.63,0,0,123.83434142318256,AMD Processor,1000,0,AMD,Windows
