,Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,ppi,CPU_BRAND,HDD,SSD,GPU_BRAND,OS
31,Asus,Notebook,2,1.65,10600.730000000001,0,0,137.98683758583198,AMD Processor,0,0,AMD,Windows
32,HP,Notebook,4,2.71,23385.530000000002,0,0,156.9531814888059,AMD Processor,500,0,AMD,Windows
33,Dell,Ultrabook,16,1.2,99561.63,1,0,340.26190974390255,Intel Core i7,0,512,Intel,Windows
34,Apple,Ultrabook,8,1.35,53163.46000000001,0,0,153.11785938475614,Intel Core i5,0,0,Intel,Mac
35,Lenovo,Notebook,4,1.44,13264.230000000001,0,0,137.98683758583198,Other Intel Processor,0,0,Intel,Windows
36,Acer,Notebook,4,2.1,19550.09,0,0,123.83434142318255,Intel Core i3,1000,0,Intel,Other
37,Dell,Notebook,8,2.8,52151.33,0,1,156.9531814888059,Intel Core i5,1000,128,AMD,Windows
38,HP,Notebook,4,1.86,26032.516300000003,0,0,123.83434142318255,Intel Core i5,1000,0,Intel,Windows
39,HP,Notebook,8,2.1,46824.33,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
40,Asus,Notebook,4,2.0,20722.030000000002,0,0,174.05705383053478,Intel Core i3,1000,0,Intel,Other
41,Dell,Gaming,16,2.65,79851.73000000001,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
42,Asus,Notebook,8,2.3,27859.677300000003,0,0,123.83434142318255,Intel Core i5,1000,0,Nvidia,Other
43,Acer,Notebook,4,2.2,36330.14,0,1,174.05705383053478,Intel Core i5,0,256,Intel,Windows
44,Dell,2 in 1 Convertible,12,2.77,53216.73,1,0,156.9531814888059,Intel Core i5,1000,0,Nvidia,Windows
45,Apple,Ultrabook,8,1.37,75590.13,0,1,272.209527795122,Intel Core i5,0,256,Intel,Mac
46,Lenovo,Notebook,4,2.2,19656.63,0,0,123.83434142318255,Intel Core i3,0,128,Intel,Other
47,Asus,Gaming,8,3.2,69197.73000000001,0,0,156.9531814888059,AMD Processor,1000,256,AMD,Windows
48,Dell,Notebook,4,2.3,34039.53,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
49,Asus,Notebook,4,2.8,24823.82,0,0,111.66564891339004,Other Intel Processor,1000,0,Nvidia,Windows
50,Lenovo,2 in 1 Convertible,4,0.69,16993.13,1,1,268.8405979956775,Other Intel Processor,0,0,Intel,Other
51,Acer,Notebook,8,2.2,44800.07,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
52,HP,Notebook,4,1.86,21227.5623,0,0,174.05705383053478,AMD Processor,0,256,AMD,Windows
53,HP,Notebook,8,1.49,58756.810000000005,0,0,204.15714584634154,Intel Core i7,0,512,Intel,Windows
54,Acer,Notebook,4,2.4,20455.68,0,0,123.83434142318255,Intel Core i3,1000,0,Intel,Windows
55,Dell,Notebook,8,2.13,40900.706,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
56,HP,Notebook,4,1.91,23385.530000000002,0,0,174.05705383053478,Intel Core i3,0,128,Intel,Windows
57,Asus,Notebook,4,2.0,31226.341300000004,0,0,123.83434142318255,Intel Core i5,0,256,Intel,Windows
58,MSI,Gaming,16,2.43,130458.23000000001,0,0,156.9531814888059,Intel Core i7,2000,256,Nvidia,Windows
59,Asus,Notebook,4,2.0,22107.050000000003,0,0,174.05705383053478,Intel Core i3,0,256,Intel,Other
60,Dell,Notebook,16,2.8,69197.73000000001,0,0,156.9531814888059,Intel Core i7,2000,256,AMD,Windows
61,Dell,Ultrabook,8,1.7,46824.33,0,0,193.94928855402446,Intel Core i5,0,256,Intel,Windows
62,Lenovo,Notebook,8,1.7,31908.730000000003,0,1,193.94928855402446,Intel Core i3,0,256,Intel,Other
63,Asus,Notebook,8,1.4,50127.07,0,0,193.94928855402446,Intel Core i5,0,256,Intel,Windows
64,HP,Notebook,8,1.86,36756.3,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Windows
65,Asus,Ultrabook,16,1.8,105634.41,0,0,174.05705383053478,Intel Core i7,0,512,Nvidia,Windows
66,HP,Notebook,4,1.86,23369.016300000003,0,0,123.83434142318255,Intel Core i3,500,0,AMD,Windows
67,HP,Notebook,4,1.44,12198.83,0,0,137.98683758583198,Other Intel Processor,0,32,Intel,Windows
68,Lenovo,Notebook,4,1.9,29245.230000000003,0,0,174.05705383053478,Intel Core i5,1000,0,Intel,Windows
69,Asus,Gaming,12,3.0,50553.23,0,0,156.9531814888059,Intel Core i7,1000,0,Nvidia,Other
70,Microsoft,Ultrabook,4,1.252,58011.030000000006,1,0,236.33079975657054,Intel Core i5,0,128,Intel,Windows
71,Dell,Ultrabook,8,1.4,50872.850000000006,0,1,204.15714584634154,Intel Core i7,0,256,AMD,Windows
72,Dell,Notebook,8,2.2,46344.9,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
73,MSI,Gaming,8,2.7,58330.65,0,0,156.9531814888059,Intel Core i5,1000,128,Nvidia,Windows
74,Acer,Notebook,8,2.1,20722.030000000002,0,0,137.98683758583198,Intel Core i3,1000,0,Intel,Windows
75,Asus,Gaming,8,2.2,50553.23,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Windows
76,Lenovo,Notebook,8,2.2,27647.13,0,0,174.05705383053478,Intel Core i5,2000,0,Intel,Other
77,Dell,Notebook,8,2.02,45545.850000000006,0,0,174.05705383053478,Intel Core i7,1000,128,Intel,Windows
78,Acer,Notebook,4,2.2,28233.100000000002,0,0,174.05705383053478,Intel Core i3,1000,0,Nvidia,Windows
79,HP,Notebook,8,2.5,52044.79,0,0,156.9531814888059,Intel Core i5,1000,128,Nvidia,Windows
80,Dell,Ultrabook,8,1.88,58392.44320000001,0,1,174.05705383053478,Intel Core i5,0,256,Intel,Windows
81,Apple,Ultrabook,8,0.92,80437.70000000001,0,1,271.5290039756342,Intel Core i5,0,512,Intel,Mac
82,HP,Notebook,8,1.63,45812.200000000004,0,0,193.94928855402446,Intel Core i5,0,256,Intel,Windows
83,Lenovo,Notebook,4,2.2,21254.73,0,0,174.05705383053478,AMD Processor,0,128,AMD,Windows
84,Acer,Notebook,4,2.1,21041.65,0,0,123.83434142318255,AMD Processor,1000,0,AMD,Windows
85,Dell,Gaming,16,2.65,71861.23000000001,0,1,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
86,HP,Ultrabook,8,1.83,37235.73,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
87,HP,Notebook,8,1.96,31908.197300000003,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Windows
88,Asus,Gaming,16,2.2,77188.23000000001,0,1,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
89,Dell,Ultrabook,8,1.21,87842.23000000001,0,1,204.15714584634154,Intel Core i7,0,256,Intel,Windows
90,Asus,Gaming,8,2.45,37235.73,0,0,174.05705383053478,AMD Processor,1000,0,AMD,Windows
91,Acer,Notebook,8,2.2,36703.03,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Windows
92,HP,Notebook,16,1.49,63764.19,0,0,204.15714584634154,Intel Core i7,0,512,Intel,Windows
93,Dell,Gaming,8,2.65,63657.65,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
94,Asus,Ultrabook,8,1.25,55880.23,0,0,193.94928855402446,Intel Core i7,0,256,Intel,Windows
95,Acer,2 in 1 Convertible,8,1.5,45119.69,1,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
96,Dell,Notebook,8,2.2,31956.673,0,0,174.05705383053478,Intel Core i7,1000,0,AMD,Other
97,Dell,Notebook,4,2.2,25835.95,0,0,174.05705383053478,Intel Core i3,0,256,AMD,Other
98,Asus,Notebook,6,2.0,30736.79,0,0,174.05705383053478,Intel Core i3,0,256,Nvidia,Windows
99,HP,Gaming,12,2.62,66534.23000000001,0,1,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
100,HP,Notebook,8,1.91,38301.130000000005,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
101,HP,Notebook,4,2.1,18591.23,0,0,174.05705383053478,AMD Processor,500,0,AMD,Windows
102,Dell,Notebook,8,2.2,34465.69,0,0,174.05705383053478,Intel Core i5,1000,0,AMD,Other
103,HP,Ultrabook,8,1.38,59609.130000000005,0,1,204.15714584634154,Intel Core i7,0,256,Nvidia,Windows
104,Microsoft,Ultrabook,8,1.252,71381.8,1,0,236.33079975657054,Intel Core i5,0,256,Intel,Windows
105,HP,Notebook,6,1.58,35104.93,0,1,193.94928855402446,Intel Core i5,0,256,Nvidia,Windows
106,Lenovo,Notebook,4,1.85,22101.723,0,0,174.05705383053478,Intel Core i3,1000,0,Intel,Windows
107,Asus,Ultrabook,8,1.3,63551.11,0,1,193.94928855402446,Intel Core i7,0,256,Nvidia,Windows
108,MSI,Gaming,16,2.2,69197.73000000001,0,0,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
109,Lenovo,Notebook,8,1.58,78839.6,0,1,193.94928855402446,Intel Core i7,0,256,Intel,Windows
110,Asus,Ultrabook,16,1.5,67226.74,0,0,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
111,Dell,Ultrabook,8,1.23,73459.33,1,0,340.26190974390255,Intel Core i7,0,256,Intel,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,74524.73000000001,1,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
113,HP,Notebook,4,1.63,38460.94,0,1,137.98683758583198,Intel Core i5,500,0,Intel,Windows
114,Dell,Ultrabook,8,1.21,86776.83,0,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
115,HP,2 in 1 Convertible,8,1.26,74524.1973,1,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
116,HP,Notebook,8,1.63,57744.68,0,0,193.94928855402446,Intel Core i7,0,512,Intel,Windows
117,Dell,Notebook,8,2.16,60212.6791,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
118,Asus,Notebook,4,2.0,30044.280000000002,0,0,156.9531814888059,Intel Core i3,1000,0,Nvidia,Windows
119,Asus,Notebook,8,1.7,59555.86,0,0,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
120,Acer,Notebook,6,2.1,25516.33,1,1,174.05705383053478,Intel Core i3,1000,0,Intel,Windows
121,MSI,Gaming,16,1.8,119404.705,0,0,174.05705383053478,Intel Core i7,2000,256,Nvidia,Windows
122,Lenovo,Notebook,8,2.2,33506.83,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Other
123,HP,Notebook,16,2.5,67706.17,0,0,156.9531814888059,Intel Core i7,0,512,Nvidia,Windows
124,Acer,Notebook,4,2.1,24024.77,0,0,123.83434142318255,AMD Processor,0,256,AMD,Windows
125,HP,Notebook,4,1.86,13796.93,0,0,123.83434142318255,Other Intel Processor,500,0,Intel,Other
126,HP,Notebook,8,1.63,43255.240000000005,0,0,193.94928855402446,Intel Core i5,1000,0,Intel,Windows
127,Asus,Notebook,4,1.65,14808.527300000002,0,0,137.98683758583198,AMD Processor,0,64,AMD,Windows
128,Dell,Notebook,16,2.8,74364.92,0,0,156.9531814888059,Intel Core i7,2000,256,AMD,Windows
129,HP,Notebook,8,2.5,49434.560000000005,0,0,156.9531814888059,Intel Core i5,0,256,Intel,Windows
130,Dell,Notebook,8,2.36,34038.9973,0,0,123.83434142318255,Intel Core i5,1000,0,AMD,Windows
131,Dell,Notebook,4,2.2,23918.230000000003,0,0,174.05705383053478,Intel Core i3,1000,0,AMD,Windows
132,Acer,Ultrabook,8,1.6,47090.68,0,1,193.94928855402446,Intel Core i7,0,256,Intel,Windows
133,Acer,Notebook,4,2.2,30470.440000000002,0,0,174.05705383053478,Intel Core i3,0,256,Nvidia,Windows
134,HP,Notebook,8,2.05,31855.460000000003,0,0,123.83434142318255,Intel Core i7,1000,0,Intel,Windows
135,HP,Notebook,8,1.63,52630.76,0,0,193.94928855402446,Intel Core i7,0,256,Intel,Windows
136,Lenovo,Notebook,4,1.9,13443.217200000001,0,0,123.83434142318255,Other Intel Processor,1000,0,Intel,Other
137,Asus,Gaming,8,3.0,49967.26,0,0,156.9531814888059,Intel Core i5,1000,128,Nvidia,Windows
138,Lenovo,Notebook,4,2.2,26581.730000000003,0,0,174.05705383053478,Intel Core i5,1000,0,Nvidia,Other
139,HP,Notebook,4,1.32,37235.73,0,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
140,Acer,Notebook,4,3.0,34891.85,0,1,156.9531814888059,Intel Core i3,1000,0,Nvidia,Windows
141,Lenovo,Notebook,8,1.75,59450.3854,0,1,193.94928855402446,Intel Core i5,0,256,AMD,Windows
142,Lenovo,Gaming,8,2.4,46291.630000000005,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Other
143,Toshiba,Notebook,4,2.1,32068.54,0,0,123.83434142318255,Intel Core i5,500,0,Intel,Windows
144,HP,Notebook,4,1.86,19656.63,0,0,123.83434142318255,AMD Processor,0,256,AMD,Windows
145,Asus,Ultrabook,8,1.25,58543.73,0,0,193.94928855402446,Intel Core i7,0,256,Intel,Windows
146,HP,Ultrabook,8,0.97,107285.78000000001,1,1,434.4464063610148,Other Intel Processor,0,512,Intel,Windows
147,Asus,Notebook,4,2.0,18324.88,0,0,174.05705383053478,Other Intel Processor,1000,0,Intel,Windows
148,MSI,Gaming,16,2.9,108084.83,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
149,Acer,Notebook,4,2.1,23811.690000000002,0,0,123.83434142318255,Intel Core i3,1000,0,Intel,Windows
150,Dell,Gaming,16,2.56,66548.0802,0,0,174.05705383053478,Intel Core i7,0,512,Nvidia,Windows
151,Dell,Gaming,8,2.62,47889.73,0,0,174.05705383053478,Intel Core i7,0,0,Nvidia,Windows
152,Lenovo,Notebook,4,1.9,26528.460000000003,0,0,123.83434142318255,Intel Core i5,0,128,Intel,Windows
153,MSI,Gaming,16,2.8,100680.3,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
154,HP,Ultrabook,4,1.48,57638.14000000001,0,0,193.94928855402446,Intel Core i5,0,256,Intel,Windows
155,HP,Notebook,6,1.91,32974.130000000005,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
156,Lenovo,2 in 1 Convertible,4,1.74,33506.83,1,1,193.94928855402446,Intel Core i3,0,256,Intel,Windows
157,Asus,2 in 1 Convertible,8,1.1,70050.05,1,0,204.15714584634154,Intel Core i5,0,256,Intel,Windows
158,Dell,2 in 1 Convertible,8,1.56,55880.23,1,0,174.05705383053478,Intel Core i7,0,256,Intel,Windows
159,Toshiba,Notebook,4,2.1,23811.690000000002,0,0,123.83434142318255,Intel Core i3,500,0,Intel,Windows
160,Asus,Notebook,4,2.03,21467.81,0,0,123.83434142318255,AMD Processor,1000,0,AMD,Windows
161,Acer,Notebook,4,3.0,42882.350000000006,0,1,156.9531814888059,Intel Core i5,0,256,Nvidia,Windows
162,Dell,Notebook,8,2.13,38780.560000000005,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
163,Lenovo,Gaming,16,2.5,57478.33,0,1,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
164,Acer,Notebook,4,2.1,18537.960000000003,0,0,123.83434142318255,Other Intel Processor,1000,0,Intel,Windows
165,MSI,Gaming,16,2.4,95832.73000000001,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
166,Acer,Notebook,4,2.1,19364.1777,0,0,123.83434142318255,Other Intel Processor,1000,0,Intel,Windows
167,Dell,Gaming,8,2.56,56492.3023,0,0,174.05705383053478,Intel Core i7,1000,128,Nvidia,Windows
168,Acer,Notebook,8,3.0,45492.58,0,1,156.9531814888059,Intel Core i5,0,256,Nvidia,Windows
169,HP,Notebook,4,1.49,40165.58,0,1,204.15714584634154,Intel Core i5,500,0,Intel,Windows
170,Huawei,Ultrabook,8,1.05,71861.23000000001,0,1,234.97702267122196,Intel Core i5,0,256,Intel,Windows
171,HP,Notebook,6,2.71,37235.73,0,1,156.9531814888059,Intel Core i5,2000,0,AMD,Windows
172,Lenovo,Notebook,4,2.2,16460.43,0,0,123.83434142318255,AMD Processor,500,0,AMD,Other
173,Toshiba,Notebook,4,2.0,26049.030000000002,0,0,123.83434142318255,Intel Core i3,500,0,Intel,Windows
174,HP,Notebook,8,2.5,49168.21000000001,0,0,156.9531814888059,Intel Core i5,0,256,Nvidia,Windows
175,Dell,Notebook,8,2.3,24450.93,0,0,123.83434142318255,Intel Core i3,1000,0,Intel,Windows
176,Acer,Notebook,4,2.1,23918.230000000003,0,0,123.83434142318255,Intel Core i3,0,128,Intel,Windows
177,MSI,Gaming,32,4.4,149102.73,0,0,147.57011085632297,Intel Core i7,1000,512,Nvidia,Windows
178,Lenovo,Notebook,8,1.9,43308.51,0,0,174.05705383053478,Intel Core i5,1000,128,AMD,Windows
179,HP,2 in 1 Convertible,8,1.29,79851.73000000001,1,1,408.31429169268307,Intel Core i5,0,256,Intel,Windows
180,Dell,Notebook,16,2.02,55880.23,0,0,174.05705383053478,Intel Core i7,2000,256,AMD,Other
181,Dell,Ultrabook,8,1.23,74524.73000000001,0,0,204.15714584634154,Intel Core i5,0,256,Intel,Windows
182,Lenovo,2 in 1 Convertible,16,1.4,98496.23000000001,1,1,390.6892143534306,Intel Core i7,0,512,Intel,Windows
183,Toshiba,Notebook,8,2.0,42243.11,0,0,123.83434142318255,Intel Core i5,0,128,Intel,Windows
184,Xiaomi,Notebook,8,1.95,63870.73,0,1,174.05705383053478,Intel Core i5,0,256,Nvidia,Other
185,Dell,Notebook,16,2.77,82515.23000000001,1,0,156.9531814888059,Intel Core i7,0,512,Nvidia,Windows
186,Dell,Notebook,16,2.06,127688.19,1,0,348.11410766106957,Intel Core i7,0,512,Nvidia,Windows
187,Lenovo,Gaming,8,2.4,41497.33,0,1,174.05705383053478,Intel Core i5,0,256,Nvidia,Other
188,Acer,Ultrabook,8,1.12,52684.030000000006,0,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
189,Dell,Notebook,8,2.8,57797.950000000004,0,0,156.9531814888059,Intel Core i7,1000,128,AMD,Windows
190,Lenovo,2 in 1 Convertible,16,1.42,150434.48,1,0,258.59905140536597,Intel Core i7,0,1000,Intel,Windows
191,Vero,Notebook,4,1.3,13850.2,0,1,193.94928855402446,Other Intel Processor,0,0,Intel,Windows
192,Xiaomi,Ultrabook,8,1.3,53264.673,0,1,204.15714584634154,Intel Core i5,0,256,Nvidia,Other
193,Lenovo,Notebook,8,2.8,37182.46,0,0,130.79431790733827,Intel Core i5,0,256,Nvidia,Other
194,Dell,2 in 1 Convertible,8,1.62,44693.530000000006,1,1,204.15714584634154,Intel Core i7,1000,0,Intel,Windows
195,HP,Notebook,8,2.5,48688.780000000006,0,1,156.9531814888059,Intel Core i5,1000,0,Nvidia,Windows
196,Razer,Gaming,32,3.49,324893.73000000004,1,0,313.9063629776118,Intel Core i7,0,1000,Nvidia,Windows
197,HP,Notebook,8,1.49,51085.93,0,0,204.15714584634154,Intel Core i5,0,512,Intel,Windows
198,HP,Gaming,16,3.35,73459.33,0,1,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
199,HP,Notebook,8,2.5,55667.15,0,0,156.9531814888059,Intel Core i7,0,256,Nvidia,Windows
200,Dell,Gaming,16,2.65,98283.15000000001,0,1,348.11410766106957,Intel Core i7,1000,512,Nvidia,Windows
201,Lenovo,Notebook,4,2.1,26262.11,0,0,123.83434142318255,Intel Core i5,0,128,Intel,Windows
202,Acer,Notebook,8,2.23,39526.340000000004,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Windows
203,Lenovo,Gaming,16,3.2,93169.23000000001,0,1,174.05705383053478,Intel Core i7,1000,512,Nvidia,Windows
204,Dell,Workstation,16,2.8,162739.85,0,0,348.11410766106957,Other Intel Processor,1000,256,Nvidia,Windows
205,Lenovo,Gaming,16,2.4,74471.46,0,0,174.05705383053478,Intel Core i7,0,512,Nvidia,Other
206,Dell,Notebook,6,2.3,23385.530000000002,1,0,123.83434142318255,Intel Core i3,1000,0,Intel,Windows
207,Dell,Ultrabook,8,1.21,103823.23000000001,1,1,408.31429169268307,Intel Core i7,0,256,Intel,Windows
208,Dell,Ultrabook,8,1.2,77188.23000000001,0,0,204.15714584634154,Intel Core i7,0,256,Intel,Windows
209,Lenovo,Notebook,8,2.2,31802.190000000002,0,0,123.83434142318255,Intel Core i5,0,256,Intel,Windows
210,Acer,Notebook,8,2.4,41497.33,0,0,174.05705383053478,Intel Core i7,1000,0,Nvidia,Other
211,Asus,Gaming,16,2.9,74950.89,0,0,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
212,HP,Notebook,4,2.1,18591.23,0,0,174.05705383053478,Intel Core i3,500,0,Intel,Other
213,Lenovo,Notebook,8,2.2,29245.230000000003,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Other
214,Huawei,Ultrabook,8,1.05,79851.73000000001,0,1,234.97702267122196,Intel Core i7,0,512,Intel,Windows
215,Dell,Ultrabook,8,1.4,49641.2476,0,1,204.15714584634154,Intel Core i7,0,256,AMD,Windows
216,Lenovo,Notebook,8,2.8,31376.030000000002,0,0,130.79431790733827,Intel Core i5,1000,0,Nvidia,Other
217,HP,Notebook,8,1.63,54921.37,0,0,193.94928855402446,Intel Core i7,0,256,Nvidia,Windows
218,Dell,Ultrabook,8,1.6,61207.23,0,0,193.94928855402446,Intel Core i5,0,256,Intel,Windows
219,Dell,2 in 1 Convertible,16,1.62,68132.33,1,0,204.15714584634154,Intel Core i7,0,512,Intel,Windows
220,Dell,Notebook,8,2.2,36082.4345,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Other
221,Lenovo,2 in 1 Convertible,8,1.74,47889.73,0,1,193.94928855402446,Intel Core i5,0,256,Intel,Windows
222,Toshiba,Ultrabook,8,1.2,72607.01000000001,0,0,204.15714584634154,Intel Core i7,0,256,Intel,Windows
223,HP,Notebook,8,2.1,42296.380000000005,0,0,174.05705383053478,Intel Core i5,1000,0,Intel,Windows
224,Dell,Gaming,16,4.42,130849.23180000001,0,1,156.9531814888059,Intel Core i7,1000,256,Nvidia,Windows
225,Acer,Notebook,8,2.2,44320.64,0,0,174.05705383053478,Intel Core i7,0,256,Nvidia,Windows
226,Dell,Notebook,16,2.3,45759.462700000004,1,0,174.05705383053478,Intel Core i7,1000,0,AMD,Windows
227,Asus,Notebook,8,2.0,40964.630000000005,0,0,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
228,Asus,Notebook,8,2.69,47463.57,0,0,156.9531814888059,Intel Core i5,500,256,Nvidia,Windows
229,HP,Notebook,8,1.9,67599.63,0,0,174.05705383053478,Intel Core i7,1000,0,AMD,Windows
230,Asus,Notebook,4,2.37,21254.197300000003,0,0,123.83434142318255,Intel Core i3,1000,0,Intel,Windows
231,HP,Notebook,4,2.1,17579.100000000002,0,0,123.83434142318255,AMD Processor,500,0,AMD,Windows
232,Lenovo,Gaming,16,3.2,79851.73000000001,0,1,174.05705383053478,Intel Core i7,1000,256,Nvidia,Windows
233,Dell,Notebook,8,1.6,45758.93,0,0,193.94928855402446,Intel Core i5,0,256,Intel,Windows
234,Acer,2 in 1 Convertible,8,1.6,36703.03,1,1,204.15714584634154,Intel Core i5,0,256,Intel,Windows
235,Dell,Notebook,16,2.36,47889.73,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Other
236,Acer,Notebook,4,2.1,20775.300000000003,0,0,123.83434142318255,Intel Core i3,1000,0,Intel,Other
237,Asus,Notebook,4,2.2,30630.25,0,0,174.05705383053478,AMD Processor,1000,128,AMD,Windows
238,Asus,Gaming,32,4.7,207220.30000000002,0,0,156.9531814888059,Intel Core i7,1000,512,Nvidia,Windows
239,Acer,Gaming,8,2.5,45066.420000000006,0,1,174.05705383053478,Intel Core i5,0,256,Nvidia,Windows
240,Lenovo,Notebook,8,2.2,31376.030000000002,0,0,123.83434142318255,Intel Core i3,0,128,Intel,Windows
241,Asus,Notebook,8,2.1,60994.15,0,0,156.9531814888059,Intel Core i7,1000,128,Nvidia,Windows
